latitude, longitude, hora, velocidade
-16.7164, 98.3666, 2022-09-06 10:03:13.545287, 24350.87956643182
-16.1743, 98.7999, 2022-09-06 10:03:24.462105, 27755.43061709932
-15.6557, 99.2112, 2022-09-06 10:03:35.023223, 27394.88434627725
-15.1363, 99.6202, 2022-09-06 10:03:45.567963, 27433.33948381147
-14.6159, 100.0269, 2022-09-06 10:03:56.061072, 27570.027373921672
-14.0946, 100.4315, 2022-09-06 10:04:06.519393, 27664.102641321104
-13.5725, 100.8341, 2022-09-06 10:04:17.046443, 27484.0298923392
-13.0497, 101.2347, 2022-09-06 10:04:27.511622, 27642.76473108969
-12.526, 101.6334, 2022-09-06 10:04:37.965472, 27677.35189100993
-12.0017, 102.0303, 2022-09-06 10:04:48.455757, 27577.232950176764
-11.4766, 102.4255, 2022-09-06 10:04:58.956242, 27554.83425718556
-10.9509, 102.8191, 2022-09-06 10:05:09.467596, 27525.52203140172
-10.4245, 103.2112, 2022-09-06 10:05:19.966841, 27561.446374633437
-9.8975, 103.6018, 2022-09-06 10:05:30.492726, 27491.611315588307
-9.37, 103.991, 2022-09-06 10:05:40.951891, 27665.08341977447
-8.8419, 104.3789, 2022-09-06 10:05:51.433891, 27607.95283335378
-8.3385, 104.7471, 2022-09-06 10:06:01.914928, 26293.591769760293
-7.8094, 105.1327, 2022-09-06 10:06:12.436973, 27506.556710390276
-7.2799, 105.5172, 2022-09-06 10:06:22.917071, 27615.379649532013
-6.75, 105.9008, 2022-09-06 10:06:33.423513, 27548.931222157556
-6.2196, 106.2834, 2022-09-06 10:06:43.917793, 27583.824028909392
-5.689, 106.6651, 2022-09-06 10:06:54.367163, 27696.640004062094
-5.1581, 107.046, 2022-09-06 10:07:04.880613, 27527.18333126939
-4.6269, 107.4262, 2022-09-06 10:07:15.353393, 27635.074094046457
-4.0954, 107.8058, 2022-09-06 10:07:25.829624, 27628.603491053233
-3.5636, 108.1848, 2022-09-06 10:07:36.330586, 27565.358970568373
-3.0317, 108.5633, 2022-09-06 10:07:46.841832, 27534.9716241642
-2.4996, 108.9415, 2022-09-06 10:07:57.295505, 27690.74279324683
-1.9674, 109.3193, 2022-09-06 10:08:07.768460, 27637.17261610344
-1.435, 109.6968, 2022-09-06 10:08:18.213313, 27714.05357660773
-0.9025, 110.0741, 2022-09-06 10:08:28.702675, 27597.16552876142
-0.37, 110.4514, 2022-09-06 10:08:39.177416, 27637.038746964598
0.1372, 110.8106, 2022-09-06 10:08:49.636367, 26359.96326189884
0.6698, 111.1879, 2022-09-06 10:09:00.120652, 27615.67291419368
1.2023, 111.5652, 2022-09-06 10:09:10.568932, 27706.366649598374
1.7347, 111.9427, 2022-09-06 10:09:21.090829, 27512.158010629664
2.2671, 112.3204, 2022-09-06 10:09:31.578722, 27603.650047391613
2.7993, 112.6984, 2022-09-06 10:09:42.053843, 27634.34003975722
3.3314, 113.0768, 2022-09-06 10:09:52.528145, 27638.635769648263
3.8633, 113.4558, 2022-09-06 10:10:03.004180, 27636.840257090298
4.3951, 113.8352, 2022-09-06 10:10:13.495082, 27598.19836908632
4.9266, 114.2152, 2022-09-06 10:10:23.951540, 27686.81770678963
5.4579, 114.596, 2022-09-06 10:10:34.394142, 27728.82337973667
5.9888, 114.9775, 2022-09-06 10:10:44.874552, 27623.892287308343
6.4942, 115.3416, 2022-09-06 10:10:55.343692, 26339.59266974094
7.0244, 115.7248, 2022-09-06 10:11:05.817723, 27639.756944497607
7.5544, 116.109, 2022-09-06 10:11:16.347285, 27500.870548116247
8.0839, 116.4942, 2022-09-06 10:11:26.876145, 27498.49824357243
8.6129, 116.8806, 2022-09-06 10:11:37.336174, 27679.302865339505
9.1666, 117.2867, 2022-09-06 10:11:47.810280, 28959.21874612533
9.8706, 117.8055, 2022-09-06 10:12:02.313115, 26619.253136747007
10.4481, 118.2336, 2022-09-06 10:12:13.965131, 27216.022539770318
10.9748, 118.626, 2022-09-06 10:12:24.407568, 27728.305961664508
11.5009, 119.02, 2022-09-06 10:12:34.929183, 27521.257157543518
12.0264, 119.4157, 2022-09-06 10:12:45.386136, 27694.65690528564
12.5511, 119.813, 2022-09-06 10:12:55.867817, 27622.392998499177
13.0752, 120.2122, 2022-09-06 10:13:06.336185, 27663.90723951676
13.5985, 120.6133, 2022-09-06 10:13:16.841706, 27564.772203016255
14.121, 121.0164, 2022-09-06 10:13:27.346945, 27565.783680781988
14.6427, 121.4215, 2022-09-06 10:13:37.835337, 27609.43508036334
15.1635, 121.8288, 2022-09-06 10:13:48.311059, 27642.844305933264
15.6834, 122.2383, 2022-09-06 10:13:58.798862, 27610.110947105735
16.2024, 122.6501, 2022-09-06 10:14:09.277393, 27635.194201071445
16.7204, 123.0644, 2022-09-06 10:14:19.718755, 27734.871597129815
17.2374, 123.4811, 2022-09-06 10:14:30.192201, 27647.80052013154
17.7289, 123.8805, 2022-09-06 10:14:40.636888, 26410.26524016959
18.2438, 124.3024, 2022-09-06 10:14:51.125542, 27608.628274773815
18.7577, 124.7271, 2022-09-06 10:15:01.584872, 27690.992109112125
19.2703, 125.1547, 2022-09-06 10:15:12.069612, 27620.34791639031
19.7817, 125.5852, 2022-09-06 10:15:22.533365, 27674.565780677767
20.2919, 126.0188, 2022-09-06 10:15:32.993067, 27688.076042957447
20.8008, 126.4556, 2022-09-06 10:15:43.434573, 27737.29033599361
21.3084, 126.8956, 2022-09-06 10:15:53.941432, 27564.713906446534
21.8145, 127.3389, 2022-09-06 10:16:04.430804, 27605.519454117868
22.3193, 127.7858, 2022-09-06 10:16:14.905400, 27652.311789345975
